extent,name,x_epsg3857,y_epsg3857,lon,lat,notes
BC,Port Kitimat,-14323291,7171167,-128.6683122419,54.0053363521,http://www.kitimat.ca/EN/main/business/invest-in-kitimat/port-of-kitimat.html
BC,S of Haida Gwaii,-14580291,6780167,-130.9769825221,51.8894820132,
